240000Y50507,BXP,HSP,Y505,6,,220702-05
260000Y50601,HSP,BXP,Y506,6,,220703-05
260000Y50702,HSP,VVP,Y507,3,,220702-05
260000Y50804,VVP,HSP,Y508,3,,220703-05
240000Y5091U,BJP,QTP,Y509,6
250000Y5101U,QTP,BJP,Y510,6
260000Y5120S,HDP,CDP,Y513,11
240000Y5140P,CDP,HDP,Y511,8
240000Y53509,BJP,ZMP,Y535,5
240000Y53607,ZMP,BJP,Y536,3
850000Y667C0,LZJ,DHJ,Y667,4
8b0000Y66911,DHJ,LZJ,Y669,5
800000Y75201,KMM,LHM,Y752,2
8c0000Y75401,LHM,KMM,Y754,2
8c0000Y76102,DKM,LHM,Y761,3
8c0000Y76201,LHM,DKM,Y762,3
930000Y9510C,WAR,YMR,Y951,5
950000Y95208,YMR,WAR,Y952,6
930000Y95309,WAR,AUR,Y953,7,,220701-10
9y0000Y95406,AUR,WAR,Y954,7,,220705-06|10-11
930000Y9620T,WAR,VTR,Y962,14
940000Y9640T,VTR,WAR,Y964,14
41000011480Y,BJY,UKH,1148,17
48000011500B,UKH,BJY,1147,20
550000122893,SHH,FXD,1228,29
15000012300F,FXD,SHH,1230,25
240000146125,BJP,SHH,1461,27
5500001462J0,SHH,BJP,1462,22
280000155101,DTV,UKH,1554,22,,220620-30
480000155230,UKH,DTV,1552,31
330000181813,NDC,WWT,1818,15
11000018200Z,WWT,NDC,1820,18
13000020511A,DLT,MDB,2051,17
03000020521C,MDB,DLT,2052,32
13000020611D,DLT,JGX,2061,29
04000020620Y,JGX,DLT,2062,27
27000020950A,TYV,XAY,2095,16,,220620-30
41000020960A,XAY,TYV,2096,14,,!220701
25000026021B,QTP,DTV,2602,10,,w671&220625-0711
280000260470,DTV,QTP,2604,13,,w567
130000262314,DLT,MLX,2623,32
05000026240M,MLX,DLT,2624,31
330000263521,HHC,LAJ,2635,20
8d0000263620,LAJ,HHC,2636,16
020000401700,HNB,JMB,4017,3,,220620
020000401710,HNB,HGB,4017,6,,220621-29
020000401701,HNB,JMB,4017,3,,220630-0711
020000401800,JMB,HNB,4018,3,,220620
020000401810,HGB,HNB,4018,6,,220621-29
020000401801,JMB,HNB,4018,3,,220630-0711
010000403110,WCB,VBB,4031,9
010000403210,VBB,WCB,4032,9
040000404500,QHX,JGX,4045,29
040000404600,JGX,QHX,4046,17,,220621-0711
030000405101,MDB,JXB,4051,14
030000405201,JXB,MDB,4052,14
010000405300,VBB,SHB,4053,9
010000405400,SHB,VBB,4054,7
050000406200,CAX,HRX,4062,5
04000040810M,QHX,BAB,4081,9
01000040820C,BAB,QHX,4082,11
04000040850E,TLX,QHX,4085,8
04000040860I,QHX,TLX,4086,7
040000409550,SFX,QHX,4095,3
02000041350T,JMB,QEB,4135,11
02000041360X,QEB,JMB,4136,10
040000416700,JGX,MRX,4167,10
050000416830,MRX,JGX,4168,10
03000041710V,MDB,HMB,4171,22
02000041720H,HMB,MDB,4172,19
05000041820R,MHX,HRX,4183,16
05000041840O,HRX,MHX,4184,16
04000041870R,QHX,MLX,4187,25
050000418811,MLX,QHX,4188,21
050000419106,HRX,MLX,4191,4,,220701-11
05000041920H,MLX,HRX,4192,4,,!220622-0703
13000042290P,YKT,SYT,4229,8
12000042300R,SYT,YKT,4230,8
190000424510,THL,CUL,4245,9
180000424600,CUL,THL,4246,9
15000042550M,YBD,JZD,4255,10
15000042560K,JZD,YBD,4256,10
19000043180O,THL,DUT,4318,8
12000043200L,DUT,THL,4317,8
12000043250R,SYT,FHT,4325,15,,w12345
12000043260K,FHT,SYT,4326,14,,w12345
15000043270P,YBD,TLD,4327,22
160000432809,CFD,YBD,4328,9
16000043300K,TLD,CFD,4330,14
180000434309,JLL,QSL,4343,10
1c0000434404,QSL,JLL,4344,10
19000043470B,THL,JAL,4347,6
19000043480F,JAL,THL,4348,6
190000434909,THL,LQL,4349,3
19000043500D,LQL,THL,4350,3
110000435506,SPT,TLD,4355,7
160000435707,TLD,SPT,4356,7
1h0000436808,KLD,TLD,4369,4
160000437007,TLD,KLD,4370,4,,220701-11
1h000043720D,KLD,TLD,4373,4,,220701-11
16000043740B,TLD,KLD,4374,4
240000447115,VBP,CDP,4471,23,0
24000044730X,CDP,VBP,4472,23,0
270000461109,TYV,JXV,4611,8
270000461205,JXV,TYV,4612,8
270000462116,TYV,EBV,4621,8,,220620-0710
270000462316,EBV,TYV,4622,8
270000462717,LFV,YNV,4627,5
27000046281D,YNV,LFV,4628,5
27000046351B,XXV,TYV,4635,5,0
270000463619,TYV,XXV,4636,5,0
270000464321,TYV,LKV,4643,6
270000464451,LKV,TNV,4644,6
33000046520E,HHC,RLC,4652,9,0,w15
33000046540H,RLC,HHC,4651,8,0,w26
40000047060M,NFF,LYF,4707,5
40000047080C,LYF,NFF,4708,3
430000490100,HOY,LYY,4901,3,0
410000490300,LYY,HOY,4902,2,0
470000500504,ZFK,LVK,5005,4
470000500605,LVK,ZFK,5006,4
470000500707,ZFK,KZK,5007,5
470000500808,KZK,ZFK,5008,5
49000050180U,YAK,CXK,5019,20
47000050200T,CXK,YAK,5020,12
49000050260K,QHK,CXK,5026,18
47000050280I,CXK,QHK,5028,9
47000050360L,ZFK,YAK,5036,8
